product_id,product_name,category,subcategory,supplier,cost_price,selling_price
P0389,Product 389,Beauty,Haircare,Prime Wholesale,17785.49,26194.75
P0390,Product 390,Beauty,Makeup,Prime Wholesale,4935.31,8198.99
P0391,Product 391,Beauty,Makeup,Urban Source,1505.81,1691.23
P0392,Product 392,Beauty,Skincare,Prime Wholesale,9315.62,12342.62
P0393,Product 393,Books,Business,Urban Source,6420.36,11501.28
P0394,Product 394,Home & Kitchen,Appliances,Prime Wholesale,15225.27,22088.6
P0395,Product 395,ELECTRONICS,Appliances,Nova Traders,9356.13,11906.42
P0396,Product 396,Electronics,Audio,Urban Source,1059.58,1865.58
P0397,Product 397,Home & Kitchen,Cookware,Global Goods,19255.58,33305.68
P0398,Product 398,Books,Business,Global Goods,6288.66,10247.04
P0399,Product 399,Beauty,Skincare,Alpha Supply,10000.26,13021.83
P0400,Product 400,Beauty,Skincare,Global Goods,10133.62,17997.45
P0401,Product 401,Fashion,Accessories,,1020.73,1309.16
P0402,Product 402,Fashion,Women,Nova Traders,10756.98,18178.91
P0403,Product 403,Fashion,Women,Alpha Supply,14563.79,23738.64
P0404,Product 404,Beauty,Makeup,Global Goods,1070.6,1589.31
P0405,Product 405,Fashion,Accessories,Prime Wholesale,1516.96,2189.07
P0406,Product 406,Sports,Fitness,Urban Source,13623.95,15879.31
P0407,Product 407,Fashion,Women,Nova Traders,15908.2,21064.71
P0408,Product 408,Home & Kitchen,Appliances,Alpha Supply,12069.14,16522.64
P0409,Product 409,Electronics,Laptops,Global Goods,2783.88,3674.14
P0410,Product 410,Beauty,Skincare,Prime Wholesale,3021.37,5205.99
P0411,Product 411,Sports,Team Sports,Prime Wholesale,6404.67,8729.1
P0412,Product 412,Sports,Team Sports,Urban Source,6760.65,11333.34
P0413,Product 413,Books,Fiction,Prime Wholesale,11280.34,16039.77
P0414,Product 414,Fashion,Accessories,Prime Wholesale,13492.44,24091.11
P0415,Product 415,Books,Technology,Urban Source,17448.38,26749.55
P0416,Product 416,Fashion,Accessories,Global Goods,19343.06,31794.01
P0417,Product 417,Home & Kitchen,Appliances,Global Goods,14441.93,21664.87
P0418,Product 418,Books,Business,Nova Traders,14437.6,23644.69
P0419,Product 419,Books,Technology,Alpha Supply,4881.82,7284.9
P0420,Product 420,Home & Kitchen,Appliances,Urban Source,427.8,558.65
P0421,Product 421,Books,Technology,Urban Source,4117.64,5934.8
P0422,Product 422,Books,Technology,,14561.67,23126.24
P0423,Product 423,Sports,Team Sports,Urban Source,6534.74,10173.3
P0424,Product 424,Fashion,Accessories,Prime Wholesale,19135.88,26999.92
P0425,Product 425,Sports,Team Sports,Prime Wholesale,7118.03,11643.91
P0426,Product 426,Sports,Outdoor,Global Goods,9709.39,17178.66
P0427,Product 427,Fashion,Women,Prime Wholesale,4536.1,8076.51
P0428,Product 428,Books,Business,Urban Source,4185.19,6644.37
P0429,Product 429,Fashion,Accessories,Prime Wholesale,11231.73,19687.31
P0430,Product 430,Fashion,Women,Urban Source,2481.39,3888.76
P0431,Product 431,Fashion,Women,Alpha Supply,19094.45,31683.87
P0432,Product 432,Fashion,Women,Prime Wholesale,19108.51,21724.49
P0433,Product 433,Books,Technology,Prime Wholesale,9607.63,11774.04
P0434,Product 434,Sports,Team Sports,Global Goods,13938.62,16431.35
P0435,Product 435,Home & Kitchen,Furniture,Nova Traders,4887.04,7634.93
P0436,Product 436,Books,Business,Urban Source,4695.09,5409.41
P0437,Product 437,Electronics,Audio,Nova Traders,13639.78,16080.98
P0438,Product 438,Beauty,Makeup,Urban Source,13075.21,22411.78
P0439,Product 439,Books,Business,Prime Wholesale,4029.15,7147.79
P0440,Product 440,Books,Technology,Global Goods,1230.29,2009.66
P0441,Product 441,Home & Kitchen,Appliances,Nova Traders,10726.29,17168.98
P0442,Product 442,Beauty,Skincare,Urban Source,17650.79,21296.88
P0443,Product 443,Beauty,Makeup,,3766.92,6099.71
P0444,Product 444,Electronics,Laptops,Prime Wholesale,6002.92,9088.44
P0445,Product 445,Beauty,Makeup,Nova Traders,19782.53,29103.59
P0446,Product 446,Sports,Fitness,Prime Wholesale,9387.01,11441.12
P0447,Product 447,Home & Kitchen,Furniture,Nova Traders,14635.83,22638.2
P0448,Product 448,Electronics,Audio,Nova Traders,14745.53,24320.58
P0449,Product 449,Home & Kitchen,Cookware,Urban Source,12238.54,18845.91
P0450,Product 450,Sports,Fitness,Nova Traders,6592.14,0.0
P0451,Product 451,Home & Kitchen,Appliances,Prime Wholesale,9575.21,16792.95
P0452,Product 452,Beauty,Makeup,Prime Wholesale,4748.65,7705.66
P0453,Product 453,Sports,Team Sports,Prime Wholesale,14471.51,15748.39
P0454,Product 454,Books,Business,Prime Wholesale,4764.24,7436.05
P0455,Product 455,Home & Kitchen,Furniture,Prime Wholesale,8138.06,11733.57
P0456,Product 456,Books,Business,Prime Wholesale,2392.44,4161.92
P0457,Product 457,Sports,Outdoor,Nova Traders,4455.94,7883.89
P0458,Product 458,Beauty,Makeup,Global Goods,14967.31,22692.42
P0459,Product 459,Beauty,Skincare,Nova Traders,15159.14,25125.31
P0460,Product 460,Books,Fiction,Global Goods,15107.05,25812.77
P0461,Product 461,Beauty,Haircare,Alpha Supply,10587.05,14191.78
P0462,Product 462,Electronics,Phones,Global Goods,16584.04,28691.71
P0463,Product 463,Sports,Team Sports,Urban Source,3039.56,4000.8
P0464,Product 464,Electronics,Laptops,Alpha Supply,13621.89,21743.0
P0465,Product 465,Sports,Fitness,Global Goods,8937.38,10010.38
P0466,Product 466,Beauty,Makeup,Prime Wholesale,9163.13,10277.1
P0467,Product 467,Books,Fiction,Nova Traders,484.32,611.8
P0468,Product 468,Sports,Team Sports,Alpha Supply,1506.94,2087.21
P0469,Product 469,Sports,Fitness,Urban Source,19882.77,34852.5
P0470,Product 470,Electronics,Phones,Urban Source,5777.46,6988.34
P0471,Product 471,Fashion,Women,Urban Source,19857.49,26914.55
P0472,Product 472,Electronics,Audio,Nova Traders,13670.47,21277.96
P0473,Product 473,Books,Technology,Urban Source,17212.72,20059.98
P0474,Product 474,Sports,Fitness,Alpha Supply,2590.57,4623.34
P0475,Product 475,Fashion,Women,Global Goods,9286.93,14838.17
P0476,Product 476,Beauty,Makeup,Nova Traders,16476.04,20730.3
P0477,Product 477,Fashion,Men,Alpha Supply,3810.19,6516.0
P0478,Product 478,Books,Fiction,Nova Traders,8413.85,13727.69
P0479,Product 479,Home & Kitchen,Cookware,Global Goods,1392.45,2099.31
P0480,Product 480,Books,Technology,Alpha Supply,14080.56,15700.49
P0481,Product 481,Beauty,Skincare,Nova Traders,8807.31,12934.65
P0482,Product 482,Sports,Team Sports,Global Goods,19869.99,24809.6
P0483,Product 483,Fashion,Women,Nova Traders,11570.62,18932.17
P0484,Product 484,Fashion,Accessories,Nova Traders,17531.35,31375.87
P0485,Product 485,Beauty,Haircare,Nova Traders,6044.99,6793.9
P0486,Product 486,Books,Fiction,Prime Wholesale,13591.06,20117.66
P0487,Product 487,Books,Business,Urban Source,13443.28,22124.67
P0488,Product 488,Beauty,Haircare,Urban Source,3026.89,4089.48
P0489,Product 489,Home & Kitchen,Furniture,Nova Traders,16994.35,22033.69
P0490,Product 490,Beauty,Makeup,Global Goods,18299.09,27172.65
P0491,Product 491,Sports,Fitness,Prime Wholesale,2725.15,3419.68
P0492,Product 492,Books,Business,Alpha Supply,1627.46,2284.7
P0493,Product 493,Sports,Outdoor,Urban Source,14505.47,17655.29
P0494,Product 494,Books,Fiction,Nova Traders,12119.14,13433.75
P0495,Product 495,Sports,Outdoor,Nova Traders,14499.89,21494.24
P0496,Product 496,Fashion,Men,Nova Traders,6098.6,10577.87
P0497,Product 497,Books,Business,Nova Traders,2390.46,4302.09
P0498,Product 498,Books,Fiction,Global Goods,12107.81,14859.3
P0499,Product 499,Fashion,Accessories,Prime Wholesale,15521.5,21017.3
P0500,Product 500,Fashion,Women,Urban Source,5268.15,7634.75
P0309,Product 309,Electronics,Phones,Prime Wholesale,15795.08,24420.14
P0014,Product 14,Sports,Fitness,Nova Traders,12717.82,18626.27
P0415,Product 415,Books,Technology,Urban Source,17448.38,26749.55
P0033,Product 33,Books,Technology,Nova Traders,9745.51,11010.8
P0461,Product 461,Beauty,Haircare,Alpha Supply,10587.05,14191.78
P0156,Product 156,ELECTRONICS,Makeup,Urban Source,6847.08,12154.65
